emotie, moeite
meelachtig, leemachtig
brugwachter, burgerwacht
plasregen, regenplas
tijdstudie, studietijd
kwetteraar, waterraket, katerwater
cavalier, calvarie
pesterij, spiertje, sprietje
analyseproces, procesanalyse
bedrieger, bedreiger
racemotor, motorrace
stuit, tutsi
hoekstijl, hoeklijst
brugkraan, kraanbrug
huisverkoop, verkoophuis
residente, eredienst
rekken, kerken
flos, slof
mediawereld, wereldmedia
bankschroef, schroefbank
malie, email
snikkel, slikken
meeslepen, meespelen
papierbak, bakpapier
poker, koper, kroep
gambiet, megabit
chemiegigant, eigenmachtig
proftennis, tennisprof
wiggen, weging
ploeg, opleg
elegie, eigeel
assens, sassen
beursvakantie, vakantiebeurs
telkens, kletsen
procesketen, ketenproces
karbonade, bonkaarde
eremiet, temeier
grafwand, wandgraf
britse, bister
controlekosten, kostencontrole
protest, spotter
pakijs, ijskap
tenenkaas, aansteken
informatiemodel, modelinformatie
keur, reuk
bermgras, grasberm
blauwgrijs, grijsblauw
koebel, boekel
reptiel, pleiter
burchtplein, burenplicht
kerkenraad, ankerkader
amuseren, username
vromelijk, vormelijk
halsband, handsbal
iet, eit, tie
paaltje, plaatje
voorraad, daarvoor
solo, loos
sterachtig, tachtigers
haardvuur, vuurhaard
gelebek, geelbek
vlokkenzeep, zeepvlokken
sir, ris, rsi
graver, vrager
welken, kwelen
kostenstroom, stroomkosten
glaspartij, slagpartij
beurs, rebus
negerzoen, regenzone, zenegroen
aktes, steak, kaste
vragenset, vergasten
armsgat, grasmat
geeloranje, oranjegeel
hardsteen, steenhard
korrelmaïs, maïskorrel
regiogemeente, groeigemeente, gemeentegroei
invlieger, vigileren
drainage, gardenia
knol, lonk
aspot, topas, potas
moeiteloos, emotieloos
graad, gaard
tras, star, rats, arts
spanader, spaander
waterpas, spawater
testloop, looptest
prognosemodel, modelprognose
volksbond, bondsvolk
blokkerig, brokkelig
juryrechtbank, rechtbankjury
wao, aow
tuinkamer, uitkramen
19-jarige, 91-jarige
kolderen, kerndoel
mestvee, stemvee
hoekkeuken, keukenhoek
