mestprobleem, stemprobleem
amalgaam, amalgama
geelster, gestreel
vaderen, daveren
werker, wreker
roeister, retorsie
noorden, doornen
kruisdraad, draadkruis
kwast, kwats
stonk, knots
buitenspel, builenpest
levenskunstenaar, kunstenaarsleven
predicties, descriptie
water, tarwe
maatstreep, mastertape
ontberingen, betonnering
afsturen, aftersun
werkpost, stopwerk
beursinformatie, informatiebeurs
pret, terp
klover, kolver
werkgarantie, garantiewerk
onbeplant, platenbon
boerenveld, verbloeden, bovenleder
schubvis, visschub
vingerplant, verplanting
stralen, renstal
ruimtegraf, grafruimte
omarming, omraming
doorgeven, ongevoerd
feestjaar, jaarfeest
museumkunst, kunstmuseum
vallicht, lichtval
onterven, vertonen
managementtijd, tijdmanagement
interieurwinkel, winkelinterieur
organisatieklimaat, klimaatorganisatie
luster, ulster, lustre
radiateur, uiteraard
fotomontage, montagefoto
penisvergroting, sportvereniging
sitemap, stampei
vaarder, verraad
secretarie, secretaire
betalingsvoorstel, belastingvoorstel
speelstijl, speellijst
muziekschool, schoolmuziek
mol, olm, lom
realist, tralies
een, ene, nee
teksttheater, theatertekst
aanvoerwater, wateraanvoer
logen, ongel
reisplezier, plezierreis
gefantaseer, aangeefster
naderen, anderen
meerdelig, meerledig
minaret, meranti
wrevel, wervel
enkel, leken, kelen
panen, panne
deens, snede, sneed
12-jarig, 21-jarig
82-jarig, 28-jarig
dienstjubileum, jubileumdienst
potdoof, doofpot
splitrok, roksplit
teemsen, meenste
marktgeld, geldmarkt
kneukel, kukelen
lok, kol
so, os
basiskosten, kostenbasis
kippenkuur, kneippkuur
lustprieel, luitspeler
afploegen, afgelopen
hocker, choker
honingraat, raathoning
taalmuziek, muziektaal
tekenen, ketenen
actieprijs, prijsactie
dba, bad
werpkracht, prachtwerk
keratitis, artistiek
computernetwerk, netwerkcomputer
beleidswetenschap, wetenschapsbeleid
satrapie, parasiet
asielketen, elastieken
kennisdossier, dossierkennis
brandstofauto, autobrandstof
metaalwaarde, etmaalwaarde
onvergefelijk, onvergeeflijk
herverdelen, verhelderen
gescheiden, geschieden
symbooltaal, taalsymbool
korsten, stroken, onsterk
strobaal, albatros
levensblij, bevelslijn
dansgarde, gardedans
wonden, downen
bekisten, biksteen
bouwkoorts, bouwstrook
kaartenverkoop, verkoopkaarten
nestor, rotsen, storen, torsen
ijzerslag, slagijzer
rangeerder, regarderen
proefdier, dierproef
programmabeheer, beheerprogramma
vuisten, stuiven
staalsoort, staartloos
boekanier, ankerboei
meel, leem
motorgeluid, droomuitleg
erflaatster, terrastafel
roezen, zoener
maangod, omgaand
lat, alt, tal
bankwerk, werkbank
stikwerk, kistwerk
nebbe, ebben
veger, gever
sluiter, luister
adelen, nadeel, nadele, dealen
sociocultureel, socioculturele
asfaltering, franstalige
lakens, kansel, slaken
kokkel, klokke
geleidingsband, landingsgebied
rasp, spar, pars
bladveer, vederbal
guit, tuig
slagwerk, glaswerk
vigeren, grieven
uitpakken, tuniekpak
ongelovige, ongevoelig
speurhond, superhond
lettervers, vertelster
geleuter, gereutel
pi, ip
tarten, ratten
drogist, dorstig
verwante, verwaten
enkelrichting, lichtrekening
nijdassen, ijsdansen
17-jarige, 71-jarige
verkorting, toverkring
testraket, rakettest
afgraven, afvragen
ritenuto, uiterton
72-jarig, 27-jarig
kalendermaand, maandkalender
fantaste, aftasten
tenten, netten
parker, karper
geblaat, bagatel
beursfusie, fusiebeurs
dodo, dood
reisduif, sierduif
verdragswijziging, wijzigingsverdrag
korven, vorken
enkelspel, lekenspel
thuisclub, luchtbuis
berrie, breier
tel, let
rotsachtig, stroachtig
bagel, gebal
kasteleines, kasteleinse
meien, menie
dagbouw, bouwdag
terrein, terrine
stortklep, strotklep
garneren, rangeren
begin, benig
geworden, onderweg
voorvering, voorvinger
rustgebied, reisbudget
normalisatie, rationalisme
trainingsgroep, groepstraining
wart, wrat
airline, lineair
mensaap, aapmens
kenner, kernen
ordeteken, ordeketen
spurter, prutser
ophoesten, steenhoop
tarificatie, ratificatie
dranktent, denktrant
nasi, nias
zomersport, sportzomer
kindster, stinkerd
reistijd, tijdreis
inspanningsonderzoek, onderzoeksinspanning
postwet, twostep
contractbasis, basiscontract
lichtplafond, plafondlicht
dekmatras, matrasdek
knokig, koking
swa, was
roef, refo
spinel, lispen
dwinger, wingerd
buffetdiner, dinerbuffet
stil, list
paneldiscussie, discussiepanel
vore, over, voer
regenkap, regenpak
bordenrek, rekenbord
opsteken, kopsteen
motse, moest
croesus, sucrose
gramatoom, grootmama
flobert, belfort
handelsbeurs, handblessure
betoon, booten
postadres, spoedarts
ploten, lepton
straatcultuur, taalstructuur
mijt, tijm
grachtkant, tankgracht
peiler, prieel, pleier
bierdrinken, kinderbrein
single, singel
spurt, pruts
tarievenoorlog, graveltoernooi
rotsbeen, bretoens
ensemblemuziek, muziekensemble
zuiger, zeurig, reuzig
indo, dino
rato, rota
erbuiten, uitbener
kromtecirkel, cirkelomtrek
toepen, opeten
bols, blos
megamarkt, gamemarkt
kapitaalgroei, groeikapitaal
aardebruin, buienradar
kosterij, stokerij
ethos, hoest
immens, simmen
minestra, stramien
depositobank, bankdeposito
patchen, pachten
straatsteen, staatsrente
gevelgroen, overleggen
krapte, parket, karpet
neerslaan, nasaleren
tankunit, tuinkant
zwingelen, inzwelgen
onderraad, daaronder, donderaar
beheerjacht, jachtbeheer
slotbepaling, lotsbepaling
loopprestatie, prestatieloop
nekpijn, knijpen
startprocedure, sportredacteur
luchtsteen, etenslucht
ladderzat, zatladder
v.l.n.r., v.r.n.l.
wetland, landwet
krachtproductie, productiekracht
aartsdom, mostaard
pondkoek, opdokken
deels, slede
natuurtuin, nuntiatuur
technisch-juridisch, juridisch-technisch
ezelskop, zoekspel
trens, snert, ernst, nerts, stern
dagge, gedag
veestal, stalvee
railnet, latrine
droogten, droognet
uitspelen, uitslepen, speeltuin
ritualisme, milieuarts
doorgraven, doorvragen, voordragen
onderstam, omstander
slabben, snabbel
dementie, eindmeet
commandoregel, legercommando
steenbouw, bouwsteen, onbewuste
nipt, pint
v.d., d.v.
ooft, foto
bedrijfsrecht, rechtsbedrijf
bevorderen, roverbende
turbinerad, uitbrander
winterdek, kinderwet
trash, harst
slik, klis
peilglas, spillage
rustbed, bedrust
sado, soda
sluieren, nulserie
cassette, testcase
erp, pre, per, rep
test, tets
nikker, rikken
bom, mbo, mob
moegestreden, eerstgenoemd
negermuziek, muziekgenre
touw, wout
deelbedrag, bladerdeeg
droomplek, moordplek
investeringskapitaal, kapitaalsinvestering
kolomhoofd, hoofdkolom
afvalhout, houtafval
polynoom, monopoly
kruidtuin, tuinkruid
berenleider, delibereren
rondo, noord, donor, doorn
vreselijk, vreeslijk
dienstgeheim, geheimdienst
heroveren, verhoeren
ketsen, steken
lichtsfeer, sfeerlicht
antiek, intake
uittillen, nulliteit
tritsen, tinerts, intrest
bureauhoofd, hoofdbureau
kond, donk
kop, pok
invers, vernis
zoal, alzo
speltafel, tafelspel
tribus, busrit
kolken, konkel, lokken
potremise, reistempo
trend, drent
oelpan, opalen
mod, dom
vloerisolatie, isolatievloer
standrecht, rechtstand
zinnespel, zinspelen
beleg, gebel
ondervloer, donorlever
toppen, pepton
toevoerlucht, luchttoevoer
remming, grimmen
beenslag, beslagen
misgaan, siamang
levenskwaliteit, kwaliteitsleven
vesten, steven, tevens
omkopen, opkomen
speknek, spekken
halmstro, strohalm
naaldlager, laaglander
gender, engerd
morbide, bromide
kasbeheerder, beheerskader
grinden, dringen
sapperen, perensap
deelfunctie, functiedeel
burneti, tribune, turbine
referent, erfrente
controleproces, procescontrole
subdoelen, bloedneus
eierstok, koetsier
negenogen, ongenegen
spritsen, spinster
vrijheidsbeweging, bewegingsvrijheid
staalgroep, groepstaal
mengbaar, bergnaam
bots, bost
pedologie, logopedie
slatten, stalnet
wedstrijdserie, seriewedstrijd
betalingsjaar, belastingjaar
ladingsgebied, dalingsgebied
aardrijk, rijkaard
dij, jid
neon, none, noen
16-jarig, 61-jarig
kamerhuur, huurkamer
geien, eigen, genie, enige
wereldklimaat, klimaatwereld
altemets, meetstal
belast, asbelt
chroom, chromo
dierenepos, niespoeder
belener, beleren
volt, vlot
stijlleer, leerstijl
shoprite, ophitser
flo, lof
misser, smeris
kasteelwijn, wijnkasteel
wezengeld, geldwezen
attraperen, perentaart
plandeel, deelplan
spongat, ponsgat
gesel, leges
trekvogel, vogeltrek
stripwinkel, winkelstrip
punaise, uiensap
werklast, kwalster
23-jarige, 32-jarige
grijpen, rijgpen
markttest, testmarkt
lekbier, kriebel
raat, rata
waterland, tarweland
jood, dojo
kartelachtig, lichtgeraakt
afladen, afdalen
pardoen, operand, pandoer
ontheemd, methoden
ata, aat
onderbeen, onbereden
aardbei, beiaard, baaierd
stalpaal, lasplaat
opslagtank, tankopslag
maïskolf, kolfmaïs
toren, tenor, toner, roten
posttrein, stoptrein
verlakken, verkalken
snotter, tonster, storten, stentor
vensterdorpel, sportverleden
stripreeks, strekspier
democratisch-liberaal, liberaal-democratisch
perken, preken
wereldhaven, havenwereld
rookstoel, koorstoel
slijpen, sjilpen, spijlen
verspreking, springkever
eindschaal, dienschaal
plakband, klapband
41-jarige, 14-jarige
bankschool, schoolbank
roken, koren
bouwgeschil, gebouwschil
strijdcultuur, cultuurstrijd
datacomputer, computerdata
lemen, melen
grafkamer, grafmaker
aanmeren, aannemer
procesontwerp, ontwerpproces
melis, limes
knobbeljicht, jichtknobbel
knapperd, pepdrank
verkeersas, kasreserve
tompoes, moespot
rookbom, boomkor
taalschool, schooltaal
asla, laas
functieselectie, selectiefunctie
manicure, cumarine
peilen, pielen
koffiekom, koffiemok
zandbak, zakband
lijnbreuk, breuklijn
schro, schor
configurationele, configurationeel
arterieklem, karmelieter
arbeidsleger, arbeidsregel
vezen, zeven
verslagweek, weekverslag
draagmier, draagriem
slijtlaag, laagstijl
cpu, cup
lastvrij, rijstvla
oir, rio
molsla, slalom
gieteren, genieter
afdrijven, erfvijand
vandaar, daarvan
informatieproces, procesinformatie
jaarrecord, recordjaar
keuzelijst, stijlkeuze
popster, opperst, stopper
draaispil, spildraai
reclameactie, actiereclame
olmen, molen
recordhoogte, hoogterecord
kleurmiddel, middelkleur
uploader, poularde
overmaken, ovenkamer
parel, lepra
keuzemenu, menukeuze
mastentop, postament
evenaring, navigeren
bacterieel, celebratie
vertolken, verkloten
doorhangen, hagendoorn
schroefoog, oogschroef
stalgeld, lastgeld
villagrond, grillavond
sleuven, leuvens
bergzone, bezorgen
uitkijk, kijkuit
hamer, harem
spiernaakt, kaarsenpit
paper, rappe
sterfelijk, kleefrijst
bijwerk, werkbij
monter, mentor
prijsstop, spotprijs
rit, tri
wener, weren
groentesoep, soepgroente
stopcontact, contactstop
tangaslip, plaatsing
rinkelaar, ankerrail
gestalte, steelgat
verkiezing, verzieking
uitbranden, buitenrand
maanmaand, maandnaam
loco, cool
manipel, nepmail
akker, kaker
stoepa, poesta
tiran, riant, train
pastelschilder, schilderspalet
vijl, vlij
ratel, alter, later, alert
lijkkoets, kostelijk
grondtoon, grondnoot
geribd, bridge
vogelrijk, kogelvrij, grovelijk
oppoken, opkopen
parsen, raspen, sparen
made, adem, dame
rietsuiker, suikerriet
wereldcongres, congreswereld
poetsen, stoepen
werkbezoek, bezoekwerk
eindjes, ijseend
rommelig, lommerig
meubelwas, wasmeubel
hulpprogramma, programmahulp
kerndeling, drenkeling, ledenkring
ketenaanbod, aanbodketen
massacre, sarcasme
patroniem, marinetop
gust, stug, guts
kapster, pakster
strip, trips
toerusten, toesturen
nat, tan
teamspel, paletmes
rechte, echter
spoten, posten
meelezer, zeemleer
kersenjam, jeansmerk
hoofdschool, schoolhoofd
sjirk, krijs
sleepvaart, spelevaart
74-jarig, 47-jarig
klas, laks, slak
achterbalkon, aanrechtblok
opkomer, omkoper
testveld, veldtest
geldprijs, prijsgeld
clubkaart, kaartclub
gastvriend, verstandig
antilliaans-nederlands, nederlands-antilliaans
ikke, kiek
trapstoel, tarotspel
inleg, lenig
data, adat
muziekband, bandmuziek
uilskop, luiskop
katerig, tragiek
managementcontract, contractmanagement
roofkunst, kunstroof
werkjaar, jaarwerk
verschilstroom, stroomverschil
regiofunctie, groeifunctie
enne, neen
doorvechten, ochtendvoer
brillenboer, berlinerbol
ruste, steur
fa, af
39-jarige, 93-jarige
industriebanden, bandenindustrie
ontgraven, ontvanger
studeren, steunder
werkland, landwerk
prefect, perfect
wurgen, gruwen
dorpachtig, opdrachtig
waterglas, waterslag
nestveren, verstenen
beurzen, bezuren
zwartbruin, bruinzwart
afgeven, afvegen
begripskader, breedsprakig
frase, seraf
pistache, pastiche
berenvel, bevernel
televisiekamer, televisiemaker
ombinden, onbemind
schrobbe, schobber
asregen, reagens
leukjes, jeuksel
seinen, niesen, ineens
zenig, gezin
rommel, mormel, lommer
bandstoot, stootband
pannenkoekmixen, pannenkoekenmix
faraonisch, anaforisch
adoniseren, anodiseren
zeeg, zege
streekbier, biersteker
verroken, verkoren
expliciet, explicite
wie, wei
catarre, ratrace
baker, break
puik, kuip
urn, nur, run
stroombed, rotsbodem
dieplood, dooplied
kuiprand, duinpark
welzeker, werkezel
inmaak, maniak
vaart, vraat
52-jarig, 25-jarig
chromosfeer, schroefmoer
motortractie, tractiemotor
lij, ijl
filmmuziek, muziekfilm
visangel, seinvlag
boomwortel, wortelboom
leidsnoer, soldenier, solideren
analysemodel, modelanalyse
verkooporder, doorverkoper
pluimveevlees, vleespluimvee
erving, vinger, nervig, vering
werkpak, pakwerk
grafplaats, paltsgraaf
drukkosten, kostendruk
hierna, hernia
treden, tender
contracttermijn, termijncontract
fat, taf, aft
gleed, degel
baanfiets, fietsbaan
kogelen, geloken
laxeren, relaxen
seinpost, stopsein
instapplek, kippenstal
kwartel, latwerk
oversteker, voerstreek
afkerig, grafiek
toets, stoet, toste
pesto, stoep, poets, sepot
deelexamen, examendeel
doolweg, wolgoed
deze, zede
uitvoeringswet, wetsuitvoering
plotseling, opstelling
schaalloon, loonschaal
breukzak, zakbreuk
becijfering, begincijfer
verenigd, grievend
briefadvies, adviesbrief
congolees, congolese
ontdoen, noodnet
fatsen, nefast
laag, gala, gaal
walvisbaard, baardwalvis
otteren, teerton
klare, rakel
althans, nathals
watergas, gaswater
gilde, gelid, ledig
kaartprijs, prijskaart
postproductie, productiestop
pink, knip
drukkunst, kunstdruk
stoer, store, roest
designmeubel, meubeldesign
togen, genot
lichtglans, lichtslang
schraler, scharrel
marktgroei, groeimarkt
andere, narede, aderen
politie, oliepit
afmartelen, armentafel
conversationeel, conversationele
corporale, carpooler
boekwerk, werkboek
beeldgeheugen, geheugenbeeld
spaarder, persraad
balk, blak
het, the
bijkomend, bomendijk
dochterbank, bankdochter
zowel, zwoel
geelgroen, groengeel
duinvoet, tienvoud, uitdoven
praatgroep, rapportage
scenarist-regisseur, regisseur-scenarist
finishfoto, fotofinish
applicatiesoftware, softwareapplicatie
suikerindustrie, industriesuiker
moppen, pompen
lus, sul
sportwedstrijd, wedstrijdsport
basisstijl, basislijst
afdrogen, afgerond
keelhuid, leukheid
inbakeren, bankieren
analysedocument, documentanalyse
maanloos, naamloos
assistent-arts, arts-assistent
atlete, atleet
aanbidster, dienstbaar
vlakdruk, drukvlak
beatnik, kabinet
avondles, lesavond
functiegebouw, gebouwfunctie
vlampunt, puntvlam
probleemhuid, huidprobleem
reekshoofd, hoofdreeks
onwelkom, omwolken
schuurkerk, kerkschuur
ongeroerd, doorregen
werktekening, ketenwerking
adder, dader
ketelaar, leertaak
pons, spon
palmwijn, wijnpalm
sensor, rossen
drogen, gorden
pon, nop
springer, sperring
lijsten, stijlen, slijten
boomvrucht, vruchtboom
zegelaar, geaarzel
neger, geren, green, regen, genre
ben, neb
kroes, koers
berken, breken
garenklos, korenslag
tops, stop, post, spot, pots
faro, afro
heil, hiel, heli
effectlicht, lichteffect
programmamanagement, managementprogramma
projectonderwijs, onderwijsproject
modelvliegtuig, vliegtuigmodel
kernindustrie, industriekern
lesindeling, lensleiding
beledigen, ingebeeld
ontregelen, lentegroen
masochist, somatisch
slijtvast, stijlvast
berm, brem
topman, tampon
standwild, wildstand
slop, pols
kunstgenre, genrekunst
knopdruk, drukknop
naast, staan, satan
stek, sekt, kets
krasselen, klasseren
stuiten, tuinset
nap, pan
smartelijk, stijlkamer, kamerlijst
koorgedeelte, rookgedeelte
ervandaan, aandraven
rammel, marmel
maalfeest, feestmaal
verdwalen, welvarend
beginner, beringen
doorhelpen, hordelopen
atletiekbaan, baanatletiek
voertaal, overlaat
weerkracht, achterwerk
routeren, retouren
bedaking, bekading
verzopen, verpozen
ordewoord, woordorde
ramee, armee
latei, talie
boosten, bootsen
obi, bio
pachttermijn, termijnpacht
moor, room
geestrijk, rijgsteek
bladgoud, goudblad
melaats, laatmes
klassiek-romantisch, romantisch-klassiek
hoesfoto, theosoof
morgenster, regenstorm
buslijn, lijnbus
leeskaart, aalsteker
kaptafel, paktafel
rekkelijkheid, kerkelijkheid
directeur, crediteur
skaten, kasten, staken
afristen, afritsen
labeling, ballinge
sema, same, asem
katoen, kanoet, toekan
opkweken, opwekken
levensstaat, staatsleven
functiematrix, matrixfunctie
witgeel, geelwit
archieffoto, fotoarchief
zijner, rijzen
kont, knot
welnu, luwen
leerfunctie, functieleer
vlaken, kalven
randhagel, lagerhand
dretsen, drentse
metrowagon, motorwagen
orderboek, bekoorder
oio, ooi
89-jarige, 98-jarige
wekker, kweker
nierkwaal, winkelaar
dog, god
pretorium, importeur
tekenmunt, muntteken
kroeskop, rookspek
computerhobby, hobbycomputer
knijper, prijken
beshulst, hulstbes
leidingwater, waterleiding
nootmelk, klemtoon
werkingsgebied, gebiedswerking
kasritme, keramist
taalkeuze, keuzetaal
imperator, temporair
betaalstaking, taakbelasting
talent, latten, latent
ketenhotel, hotelketen
gebiedsregie, geisergebied
verzoener, roerzeven
acoliet, locatie
bussysteem, subsysteem
koolsteen, steenkool
verzoendag, zandgroeve
essen, snees, nesse
reu, ure
kransen, knarsen
eis, sie
frats, straf
beeldkunst, bendelstuk, kunstbeeld
kegel, gelek
voetbalschool, schoolvoetbal
tv-kabel, kabel-tv
grensland, landgrens
doen, node
oranje-geel, geel-oranje
ontmaskering, kostenraming
beeldvorm, verbloemd
kans, snak
wedstrijdbaan, baanwedstrijd
entmes, metsen, smeten, mesten
hardijzer, ijzerhard
lichtsein, seinlicht
redekunst, steendruk
contractjaar, jaarcontract
kruishulde, huidskleur
onbestaand, bastonnade
vastenkalender, vandalenstreek
envelop, opleven
islamstudie, stadsmilieu
stoffig, gifstof
tekenveld, veldteken
lichtlijnen, lichtenlijn
klak, kalk
risicovlucht, vluchtrisico
zaalsport, sportzaal
colorist, cortisol
onrendabel, boerenland
kerststal, stalkster
middendoor, doormidden
broodsuiker, suikerbrood
bevrijder, bedrijver
kolengruis, gruiskolen
kousenbroek, broekkousen
vervoersbedrijf, bedrijfsvervoer
voortrekken, overtrokken
meerheid, hiermede
door, oord, rood
verbandleer, barnevelder
likken, nikkel, kinkel
uitgeven, uitvegen
stofkam, afkomst
onderhevig, vingerhoed
kamwol, wolkam
muilen, luimen
legereenheid, regeleenheid
hulpproject, projecthulp
winstbelang, belangwinst
dagrente, rentedag
beregelen, belegeren
protserigheid, stroperigheid
voorgevel, vogelvoer
tunnelboor, boortunnel
bubbeltje, bubblejet
daling, lading
competitieavond, avondcompetitie
mededogen, meedogend
verdonkeren, verdronkene
traceren, recreant
levantijn, valentijn
ijzen, zijne
kluisvrucht, kruisvlucht
briek, biker
gewasstand, stadswagen
vagen, gaven
ouderhulp, hulpouder
managementcultuur, cultuurmanagement
steenkar, streaken
achtenzestig, zesentachtig
godin, dingo, nodig
hele, heel
heerban, beharen
kinderleed, kinderdeel
korren, ronker
watertor, waterrot
vorderingsrecht, rechtsvordering
tinken, inkten
meg, gem
kunstkatern, krantenstuk
vondel, dolven, vloden
kapje, pakje
gasmunt, mustang
dreinerig, dirigeren
stromijt, stormtij
geel-blauw, blauw-geel
triakel, artikel
stalbeen, belasten
zwengelpomp, pompzwengel
verkiezingsraad, raadsverkiezing
ahoi, haio
opdrijving, dopingvrij
tafelvoetbal, voetbaltafel
loopstuk, kooplust
nomografie, monografie
eskimo, moseik
honingheide, heidehoning
meterkast, testkamer
knikker, krikken
optisch, topisch
subroute, busroute
groeptaal, taalgroep
cesuur, secuur
zwaaiarm, armzwaai
invaart, variant
schone, schoen
reactiviteit, creativiteit
puntkomma, kommapunt
derwisj, wijders
narcotine, container
reisplan, spiralen
terne, renet, teren, rente, reten, enter
onedel, doelen
modern, dromen
begroeid, breigoed
troep, poter
basset, asbest
ongein, onenig
liederen, riedelen, elideren
djilbab, bijblad
lava, vaal, aval
oh, ho
vendel, delven, levend
portaal, paalrot
plaatmetaal, metaalplaat
stro, rost, tros, rots, tors
lichtstraat, straatlicht, staartlicht
eendenborst, onbestreden
merkbeeld, beeldmerk
benijder, berijden
ratineren, traineren
sjeik, sjiek
stadsnet, danstest
tijdzone, zonetijd
monsterrace, racemonster
sterke, rekest, ekster, streek, steker
zandplaat, zaadplant
graven, garven, vragen, vanger
campagneposter, postercampagne
merg, germ
tijdruimte, ruimtetijd
industriebouw, bouwindustrie
dagen, gaden
schildpadsoep, soepschildpad
marktrente, rentemarkt
wijnappel, appelwijn
tuinstoel, notuliste
kust, stuk
uitgalmen, glutamine
incasso, caisson
kletspraat, kerstplaat
ponken, knopen
briefkaart, kaartbrief
poelkikker, kikkerpoel
fijten, fijnte
kroken, rokken
gassector, escargots
fok, kof
partijelite, elitepartij
ondersteuningsbeleid, beleidsondersteuning
danser, anders
i.m., m.i.
grondig, gording, droging
basiswet, wasbeits
97-jarige, 79-jarige
afstel, falset
lodder, roddel
vogelzang, zangvogel
gerekt, getrek
meettrein, emitteren
standlicht, lichtstand
bussel, lesbus
13-jarig, 31-jarig
ongecomplexeerd, goederencomplex
stemvork, mestvork
autokraan, kraanauto
starten, straten, restant
aow-premie, wao-premie
xvi, xiv
vroegeling, overliggen
aangorden, ondergaan
valnet, levant
industriehaven, havenindustrie
nuf, fun
aria, raai
boerenkiel, berkenolie
eraan, arena
96-jarige, 69-jarige
bevrijdster, verbijsterd
dierenmest, densimeter
beeldrand, bladderen
geweldvorm, welgevormd
commissiekamer, kamercommissie
soorteigen, reisgenoot
boersheid, soberheid
cultuurkennis, kenniscultuur
sportfiets, fietssport
bodemen, benoemd
riemen, mieren
stommelen, omsmelten
feestthema, themafeest
sima, mais
democratiemodel, modeldemocratie
koestal, koeltas
frites, stierf, friste
beeldkaart, kaartbeeld
slaaptent, platentas, entplaats
partijtrouw, trouwpartij
ergon, groen
functiecontrole, controlefunctie
raamwerk, waarmerk
zwaardleen, zwendelaar
selectiepakket, pakketselectie
sprot, strop, sport
gelovige, gevoelig
negeren, generen, regenen
gedrein, nederig, driegen, dreigen
fietscross, crossfiets
vijfennegentig, negenenvijftig
riedel, leider, erelid
eigenste, tegeneis
aap, apa
lee, eel
sol, lso, los
boemeltje, bloemetje
host, shot
mengvoer, vermogen
geredekavel, vakgeleerde
regenleiding, eindregeling
riks, kris
baanrace, racebaan
restproduct, sterproduct
aaltje, laatje
garve, grave
zeik, ziek
iezegrim, miezerig
postbus, busstop, stopbus
kaartenmaker, kaartenkamer
vleesvlieg, vliesgevel
staminee, amnestie
garf, graf
regime, regiem, gemier
kinnebak, inbakken
zandstrand, strandzand
doddengras, donderdags
stuwraket, kustwater
geldwissel, wisselgeld
expertkennis, kennisexpert
vos, vso
drukbelasting, belastingdruk
hoogedelachtbaar, edelhoogachtbaar
redeleer, leerrede
stapelen, steelpan
vernieuwingsbeleid, beleidsvernieuwing
musicaldans, dansmusical
forumdebat, debatforum
branie, banier
doening, nodigen
boorijzer, ijzerboor
kiel, klei, like
tijdstabel, debatstijl
belikken, bikkelen
tater, tetra
massablad, bladmassa
geldboete, boetegeld, beltegoed
lic, cli
lichtkunst, kunstlicht
tweelingen, wilgenteen
simpel, mispel
aflekken, fakkelen
dorps, drops
basisproductie, productiebasis
aaltjes, slaatje
ingekeerd, dierengek
magenta, netmaag
beursopening, brugpensioen
eest, stee
avondshow, showavond
65-jarig, 56-jarig
esdorp, dopers
ophakker, hopakker
bladspinazie, spinazieblad
transactiemarkt, markttransactie
portee, tropee, optree
bedelverbod, beeldverbod
randdebiel, bandleider
koortsdroom, moordstrook
sedert, streed
meetorsen, meetsnoer
loeven, voelen
patisserie, tapisserie
bekronen, knorbeen
opveren, proeven
rijksdeel, ijskelder
wegdoen, gewonde
etsen, steen
boekrug, koebrug
verbreed, bederver
mosterdolie, dieselmotor
industriediamant, diamantindustrie
meter, temer, treem
burg, brug
aanbieder, beiaarden, bedienaar
sept, pest, step, pets
berijming, beginrijm
postzak, zotskap
knipster, pinkster
lou, ulo
taanketel, taalteken, tekentaal
lozen, zolen
ger, erg
duits, duist
slufter, frutsel
46-jarig, 64-jarig
prijs-loonspiraal, loon-prijsspiraal
taco, coat
melker, merkel
ogelijk, goelijk
verrast, travers
langspeelfilm, speelfilmlang
kluissleutel, sleutelkluis
klove, kovel, vloek
slippen, snippel
beugelzaag, zaagbeugel
wilde, dweil
stunter, testrun
hoekband, handboek
gemeden, gemeend
afsteken, afketsen
nko-arts, kno-arts
braad, baard
prat, part, trap
arob, bora, arbo
poli, pilo
instellingstijd, tijdsinstelling
groeifonds, regiofonds
kweken, wekken
52-jarige, 25-jarige
goede, gedoe, geode
stedenkroon, onderkotsen
braak, bakra, barak
suikerkristal, kristalsuiker
apenrots, patrones
stofgoud, goudstof
mergelaarde, dealermarge
bodemkoers, koersbodem
gentse, stegen
waterzak, zakwater
poenen, openen
architecte, actierecht
gierton, negrito
groentekas, kasgroente
optieplan, alpinopet
vorstkam, kastvorm
maner, maren, ramen
rapportcijfer, cijferrapport
manen, namen
aspirine, parisien
klooster, kletsoor, rookstel
nootteken, toonteken
chocolademelk, melkchocolade
bladvoet, bloedvat
43-jarig, 34-jarig
ix, xi
noordkriek, kinderkoor
stokregel, stekelrog
emotievol, moeitevol
heraanleg, hengelaar
raspsel, plasser, slapers
kokerrok, kerkkoor
vrijkorps, prijsvork
oeverlijn, overijlen
winst-en-verliesrekening, verlies-en-winstrekening
budgetjaar, jaarbudget
blokhak, hakblok
droomlocatie, moordlocatie
o.v.t., t.o.v.
eurogeld, goudleer
rammelen, lammeren
eurocraat, autoracer
slijppoeder, poedelprijs
langoest, tangoles
clubjaar, jaarclub
ijsbank, bijkans
troepen, poteren, opteren
tuinkruiden, kruidentuin
karot, tarok
aard, raad, daar
alfa, faal, laaf
lenskop, spelonk
zegellak, lakzegel
luit, tuil
factie, actief
paco, capo
sonologie, losgooien, nosologie
rekentool, koeltoren
functieaanbod, aanbodfunctie
aardgas, draagas
pakistaan, pastinaak
naad, nada
timer, mirte, ritme
multiple, multipel
portugees, portugese
vertrok, verkort
fusiebank, bankfusie
palmvrucht, rampvlucht
zetel, zeelt
zuidtak, zakduit
afliggen, gifangel
marktklimaat, klimaatmarkt
orderstroom, doorstromer
pinkogen, knipogen
crossmotor, motorcross
lesbo, bloes
bladloos, loodslab
mohairen, harmonie
introspectief, perfectionist
koortsvrij, voorstrijk
kennisdomein, domeinkennis
briefbom, bombrief
veengrond, rondgeven
responsie, snoepreis
tapbier, biertap
fataal, aflaat
rectoraal, correlaat
neuzelaar, auralezen
datumsysteem, systeemdatum
aporie, roepia
subtiel, besluit
dokken, kokend
walk, kwal
tekenblad, kantelbed
stroperig, protserig
sheet, these
keen, eken
waterinlaat, inlaatwater
endemie, mediene, meineed
kasgeld, geldkas, dekglas
dagthema, themadag
86-jarige, 68-jarige
dubbelglas, dubbelslag
mug, gum
haardhout, houthaard
presidente, eindstreep
